pub_date	title	venue	excerpt	citation	url_slug	paper_url
2026-05-21	A Hybrid Data Assimilation of GNSS Ground-Based VTEC and Radio Occultation Ionospheric Measurements Using Kalman Filter and Deep Learning	Journal of Geophysical Research: Space Physics		"M.J. Wu, P. Guo, **Naifeng Fu**, Y. Gao, J.C. Xue, B.Z. Pang, Y.H. Cai ""A Hybrid Data Assimilation of GNSS Ground-Based VTEC and Radio Occultation Ionospheric Measurements Using Kalman Filter and Deep Learning."" Journal of Geophysical Research: Space Physics, 2026, 131(5), e2025JA034893."	A-Hybrid-Data-Assimilation-of-GNSS-Ground-Based-VTEC-and-Radio-Occultation-Ionospheric-Measurements	https://doi.org/10.1029/2025JA034893
2025-12-19	On-orbit calibration and performance validation of the Yunyao polarimetric radio occultation system	Atmospheric Measurement Techniques		"Liang Kan, Fenghui Li, **Naifeng Fu**, Yan Cheng, Sai Xia, Bobo Xu ""On-orbit calibration and performance validation of the Yunyao polarimetric radio occultation system."" Atmospheric Measurement Techniques, 2025, 18(24), 7787-7804."	On-orbit-calibration-and-performance-validation-of-the-Yunyao-polarimetric-radio-occultation-system	https://doi.org/10.5194/amt-18-7787-2025
2025-08-16	The Yunyao LEO Satellite Constellation: Occultation Results of the Neutral Atmosphere Using Multi-System Global Navigation Satellites	Remote Sensing		"Hengyi Yue, **Naifeng Fu**, Fenghui Li, Yan Cheng, Mengjie Wu, Peng Guo, Wenli Dong, Xiaogong Hu, Feixue Wang ""The Yunyao LEO Satellite Constellation: Occultation Results of the Neutral Atmosphere Using Multi-System Global Navigation Satellites."" Remote Sensing, 2025, 17(16), 2851."	The-Yunyao-LEO-Satellite-Constellation-Occultation-Results-of-the-Neutral-Atmosphere	https://doi.org/10.3390/rs17162851
2025-03-19	Quality assessment of YUNYAO radio occultation data in the neutral atmosphere	Atmospheric Measurement Techniques	## 摘要	"X. Xu, W. Han, J. Wang, Z. Gao, F. Li, Y. Cheng, N. Fu ""Quality assessment of YUNYAO radio occultation data in the neutral atmosphere."" Atmospheric Measurement Techniques, 2025."	Quality-assessment-of-YUNYAO-radio-occultation-data-in-the-neutral-atmosphere	https://amt.copernicus.org/articles/18/1339/2025/
2024-08-22	Analysis of the neutral atmosphere inversion results of multi-system GNSS occultation in Yunyao Satellite Constellation	Research Square (Preprint)		"Hengyi Yue, **Naifeng Fu**, Fenghui Li, Yan Cheng, Mengjie Wu, Peng Guo, Wenli Dong, Xiaogong Hu ""Analysis of the neutral atmosphere inversion results of multi-system GNSS occultation in Yunyao Satellite Constellation."" Research Square, 2024."	Analysis-of-the-neutral-atmosphere-inversion-results-of-multi-system-GNSS-occultation-in-Yunyao-Satellite-Constellation	https://doi.org/10.21203/rs.3.rs-4754261/v1
2024-08-01	Dynamic Characterization of Equatorial Plasma Bubble Based on Triangle Network-Joint Slope Approach	Journal of Geophysical Research: Space Physics	## 摘要	"Xirui Mia, Rong Yang, **Naifeng Fu**, Xingqun Zhan, Y.Jade Morton ""Dynamic Characterization of Equatorial Plasma Bubble Based on Triangle Network-Joint Slope Approach."" Journal of Geophysical Research: Space Physics, 2024."	Dynamic-Characterization-of-Equatorial-Plasma-Bubble-Based-on-Triangle-Network-Joint-Slope-Approach	https://doi.org/10.1029/2024JA032912
2023-12-18	The Ionospheric Exploration Based on TJU#01 Meteorological Microsatellite Mission: Initial Results	Radio Science		"M.J. Wu, P. Guo, F.H. Li, **Naifeng Fu**, X. Ma, Y. Cheng ""The Ionospheric Exploration Based on TJU#01 Meteorological Microsatellite Mission: Initial Results."" Radio Science, 2023."	The-Ionospheric-Exploration-Based-on-TJU01-Meteorological-Microsatellite-Mission-Initial-Results	https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2023RS007677
2023-07-01	GPS/PWV与第五代大气再分析数据的短时强降水分析	测绘科学		"窦世标, **付乃锋**, 涂宏京等 ""GPS/PWV与第五代大气再分析数据的短时强降水分析."" 测绘科学, 2023."	GPSPWV	
2022-07-12	Assessment of ZTD Derived from COSMIC Occultation Data with ECWMF, Radiosondes, and GNSS	Sensors		"**Naifeng Fu**, M. Jiang, F. Li, P. Guo, C. Hou, M. Wu, J. Wu, Z. Wang, L. Kan ""Assessment of ZTD Derived from COSMIC Occultation Data with ECWMF, Radiosondes, and GNSS."" Sensors, 2022."	Assessment-of-ZTD-Derived-from-COSMIC-Occultation-Data-with-ECWMF-Radiosondes-and-GNSS	https://doi.org/10.3390/s22145209
2022-04-26	Sea Surface Wind Speed Retrieval Based on Empirical Orthogonal Function Analysis Using 2019–2020 CYGNSS Data	IEEE Transactions on Geoscience and Remote Sensing		"Jianming Wu, YanLing Chen, Peng Guo, Xiaoya Wang, Xiaogong Hu, Mengjie Wu, Fenghui Li, **Naifeng Fu**, Yanzhen Hao ""Sea Surface Wind Speed Retrieval Based on Empirical Orthogonal Function Analysis Using 2019–2020 CYGNSS Data."" IEEE Transactions on Geoscience and Remote Sensing, 2022."	Sea-Surface-Wind-Speed-Retrieval-Based-on-Empirical-Orthogonal-Function-Analysis-Using-20192020-CYGNSS-Data	https://doi.org/10.1109/TGRS.2022.3169832
